x,y,z
-7.732051086425781250e+01,6.250260543823242188e+01,2.495753765106201172e+00
-7.732051086425781250e+01,6.260295104980468750e+01,2.467148303985595703e+00
-7.732051086425781250e+01,6.270330047607421875e+01,2.437927722930908203e+00
-7.732051086425781250e+01,6.280364227294921875e+01,2.408110380172729492e+00
-7.732051086425781250e+01,6.290399169921875000e+01,2.377715587615966797e+00
-7.732051086425781250e+01,6.300433349609375000e+01,2.346762657165527344e+00
-7.732051086425781250e+01,6.310468292236328125e+01,2.315271139144897461e+00
-7.732051086425781250e+01,6.320502853393554688e+01,2.283261299133300781e+00
-7.732051086425781250e+01,6.330537414550781250e+01,2.250752925872802734e+00
-7.732051086425781250e+01,6.340571975708007812e+01,2.217767238616943359e+00
-7.732051086425781250e+01,6.350606536865234375e+01,2.184325218200683594e+00
-7.732051086425781250e+01,6.360641479492187500e+01,2.150447845458984375e+00
-7.732051086425781250e+01,6.370675659179687500e+01,2.116156816482543945e+00
-7.732051086425781250e+01,6.380710601806640625e+01,2.081473827362060547e+00
-7.732051086425781250e+01,6.390744781494140625e+01,2.046421051025390625e+00
-7.732051086425781250e+01,6.400779724121093750e+01,2.011020660400390625e+00
-7.732051086425781250e+01,6.410813903808593750e+01,1.975295424461364746e+00
-7.732051086425781250e+01,6.420848846435546875e+01,1.939267873764038086e+00
-7.732051086425781250e+01,6.430883789062500000e+01,1.902960896492004395e+00
-7.732051086425781250e+01,6.440917968750000000e+01,1.866397619247436523e+00
-7.732051086425781250e+01,6.450952148437500000e+01,1.829601407051086426e+00
-7.732051086425781250e+01,6.460987091064453125e+01,1.792595505714416504e+00
-7.732051086425781250e+01,6.471022033691406250e+01,1.755403518676757812e+00
-7.732051086425781250e+01,6.481056213378906250e+01,1.718049049377441406e+00
-7.732051086425781250e+01,6.491091156005859375e+01,1.680555939674377441e+00
-7.732051086425781250e+01,6.501126098632812500e+01,1.642948031425476074e+00
-7.732051086425781250e+01,6.511160278320312500e+01,1.605249166488647461e+00
-7.732051086425781250e+01,6.521194458007812500e+01,1.567483425140380859e+00
-7.732051086425781250e+01,6.531229400634765625e+01,1.529674649238586426e+00
-7.732051086425781250e+01,6.541264343261718750e+01,1.491847157478332520e+00
-7.732051086425781250e+01,6.551298522949218750e+01,1.454024672508239746e+00
-7.732051086425781250e+01,6.561333465576171875e+01,1.416231513023376465e+00
-7.732051086425781250e+01,6.571367645263671875e+01,1.378491640090942383e+00
-7.732051086425781250e+01,6.581402587890625000e+01,1.340829133987426758e+00
-7.732051086425781250e+01,6.591436767578125000e+01,1.303267717361450195e+00
-7.732051086425781250e+01,6.601471710205078125e+01,1.265831470489501953e+00
-7.732051086425781250e+01,6.611506652832031250e+01,1.228544116020202637e+00
-7.732051086425781250e+01,6.621540832519531250e+01,1.191429495811462402e+00
-7.732051086425781250e+01,6.631575012207031250e+01,1.154511094093322754e+00
-7.732051086425781250e+01,6.641609954833984375e+01,1.117812395095825195e+00
-7.732051849365234375e+01,6.651644897460937500e+01,1.081356763839721680e+00
-7.732051849365234375e+01,6.661679077148437500e+01,1.045167446136474609e+00
-7.732051849365234375e+01,6.671714019775390625e+01,1.009267330169677734e+00
-7.732051849365234375e+01,6.681748199462890625e+01,9.736793041229248047e-01
-7.732051849365234375e+01,6.691783142089843750e+01,9.384260773658752441e-01
-7.732051849365234375e+01,6.701817321777343750e+01,9.035300016403198242e-01
-7.732051849365234375e+01,6.711852264404296875e+01,8.690133094787597656e-01
